embedding,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std
detective,0.8155000000000001,0.013542115377181212,0.7669826625905334,0.034802528943734076,0.6905478113585624,0.02025716464263652,0.7262190278735974,0.017772904960096772,0.8816192244072629,0.01852011338069576
tfidf,0.6073000000000001,0.009603818684946811,0.46558521536175934,0.016288583958538577,0.7326261428218522,0.023572930071339225,0.5691621901280601,0.015943151924512487,0.6703370812317857,0.013472139465255953
minilm,0.6188,0.019077619231852704,0.4741665159996883,0.019607852089598792,0.6855807274159613,0.03026855336650637,0.5602415224617386,0.018566982692879715,0.6538042076689141,0.02315154337457152
